                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6322,                 2.7235,                 1.1669,                0.44548,                0.22816,                0.21195,                0.08592,                 2.4091,                 1.8519,                 1.1106,             0.00036857,             0.00036857,             0.00036857
                      2,                 2.4906,                 1.7726,                 1.1051,                0.48766,                0.25854,                0.26423,                0.10936,                 2.2826,                 1.6457,                 1.0587,             0.00067794,             0.00067794,             0.00067794
                      3,                 2.3877,                 1.7089,                 1.1303,                0.56092,                0.22816,                0.24954,                0.11486,                 2.2036,                 1.8261,                 1.0545,             0.00092621,             0.00092621,             0.00092621
                      4,                 2.3215,                 1.5873,                 1.1071,                0.57199,                 0.2349,                0.26589,                0.12664,                 2.1414,                 1.5917,                 1.0369,             0.00083603,             0.00083603,             0.00083603
                      5,                 2.2863,                 1.5132,                 1.0941,                0.56478,                 0.2903,                0.31521,                0.14414,                 2.1303,                  1.446,                  1.022,             0.00083603,             0.00083603,             0.00083603
                      6,                 2.2385,                 1.4493,                 1.0794,                0.59794,                0.28981,                0.33383,                0.16648,                 2.0212,                 1.3819,                 1.0055,             0.00074437,             0.00074437,             0.00074437
                      7,                 2.1833,                 1.3633,                 1.0605,                0.62814,                0.31911,                0.36333,                0.16789,                 2.0958,                 1.3226,                 1.0124,             0.00065271,             0.00065271,             0.00065271
                      8,                 2.1643,                  1.321,                 1.0417,                0.65362,                0.32279,                0.37621,                0.18032,                 1.9926,                 1.2843,                0.99399,             0.00056105,             0.00056105,             0.00056105
                      9,                 2.1232,                 1.2793,                 1.0408,                0.62404,                0.33411,                0.37569,                0.18104,                 2.0223,                 1.2303,                0.99743,              0.0004694,              0.0004694,              0.0004694
                     10,                 2.0844,                 1.2228,                 1.0267,                0.66923,                0.34293,                0.40297,                0.19739,                 1.9542,                  1.187,                0.98242,             0.00037774,             0.00037774,             0.00037774
                     11,                 2.0449,                 1.1987,                 1.0155,                0.66166,                0.35185,                0.40244,                0.20541,                 1.9162,                 1.1622,                0.96738,             0.00028608,             0.00028608,             0.00028608
                     12,                 2.0127,                 1.1646,                 1.0096,                0.68988,                0.35231,                0.41371,                0.20936,                 1.8964,                 1.1536,                0.96436,             0.00019442,             0.00019442,             0.00019442
