                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.488,                 3.2796,                 1.1933,                0.07283,                0.04783,                0.05149,                 0.0276,                 2.2288,                 2.5275,                 1.0917,             0.00036504,             0.00036504,             0.00036504
                      2,                 2.3136,                 2.1079,                 1.1051,                0.29817,                0.08939,                0.10805,                0.05339,                 2.2379,                 2.0624,                 1.0935,             0.00067471,             0.00067471,             0.00067471
                      3,                 2.1902,                  1.929,                 1.1266,                0.36028,                0.10769,                0.13171,                0.06582,                 2.0711,                 1.8752,                  1.057,             0.00092327,             0.00092327,             0.00092327
                      4,                 2.1287,                  1.845,                 1.1163,                0.48587,                0.11037,                0.14529,                0.07394,                 2.1509,                 1.7435,                 1.0732,             0.00083603,             0.00083603,             0.00083603
                      5,                 2.1067,                 1.7176,                 1.1028,                0.49017,                0.20427,                0.20505,                0.08838,                  2.144,                 1.6702,                 1.0711,             0.00083603,             0.00083603,             0.00083603
                      6,                 2.0474,                 1.6057,                 1.0747,                0.60104,                0.27874,                0.32327,                0.16632,                 1.9126,                 1.4038,                 1.0243,             0.00074437,             0.00074437,             0.00074437
                      7,                 1.9971,                 1.4921,                 1.0648,                0.61002,                0.22767,                0.26978,                0.13395,                 1.9812,                 1.4907,                 1.0229,             0.00065271,             0.00065271,             0.00065271
                      8,                 1.9388,                 1.4307,                 1.0442,                0.67428,                0.32942,                  0.387,                0.19966,                 1.8774,                 1.3619,                 1.0119,             0.00056105,             0.00056105,             0.00056105
                      9,                 1.8984,                 1.3821,                 1.0317,                0.65033,                 0.2618,                0.31095,                0.15957,                 1.8562,                 1.4102,                 1.0123,              0.0004694,              0.0004694,              0.0004694
                     10,                 1.8786,                  1.336,                 1.0273,                0.66856,                0.34875,                0.40304,                0.21309,                 1.8202,                 1.2735,                 1.0003,             0.00037774,             0.00037774,             0.00037774
                     11,                 1.8269,                 1.3018,                 1.0167,                0.70066,                 0.3267,                0.39536,                0.20714,                 1.8335,                 1.2965,                0.99451,             0.00028608,             0.00028608,             0.00028608
                     12,                 1.8234,                  1.265,                 1.0052,                 0.6904,                0.36518,                0.41745,                0.22116,                 1.7937,                 1.2376,                0.99162,             0.00019442,             0.00019442,             0.00019442
