                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2538,                 6.3483,                 3.8686,                  1e-05,                  3e-05,                      0,                      0,                 6.1465,                 6.8576,                 4.3197,             0.00036504,             0.00036504,             0.00036504
                      2,                 4.2253,                 3.3756,                 2.5865,                0.00375,                0.02043,                0.00494,                0.00143,                 4.3207,                 4.5005,                  3.077,             0.00067471,             0.00067471,             0.00067471
                      3,                 3.9531,                 3.1904,                 2.2112,                 0.2331,                0.01966,                0.01114,                0.00291,                 4.1267,                 3.0687,                 2.2372,             0.00092327,             0.00092327,             0.00092327
                      4,                 3.7795,                 3.0985,                 2.1078,                0.22879,                0.02955,                 0.0127,                 0.0035,                 3.8203,                 3.2463,                 1.8187,             0.00083603,             0.00083603,             0.00083603
                      5,                 3.6598,                 2.9176,                 1.9638,                0.26962,                0.04913,                0.02595,                0.00741,                 3.7086,                 2.7576,                 1.7062,             0.00083603,             0.00083603,             0.00083603
                      6,                 3.4642,                 2.6966,                 1.7981,                0.27076,                 0.0274,                0.02526,                0.00794,                 3.6238,                 4.4836,                 1.5815,             0.00074437,             0.00074437,             0.00074437
                      7,                 3.3242,                 2.5768,                  1.768,                0.49776,                0.07048,                0.03949,                0.01278,                 3.3296,                  2.616,                  1.658,             0.00065271,             0.00065271,             0.00065271
                      8,                 3.2179,                 2.4772,                 1.6841,                0.32563,                0.07099,                0.04285,                0.01549,                 3.1429,                 2.5744,                 1.4885,             0.00056105,             0.00056105,             0.00056105
                      9,                 3.1656,                 2.4247,                 1.6461,                0.32987,                0.10997,                0.06328,                0.02314,                 3.1143,                 2.2797,                 1.4981,              0.0004694,              0.0004694,              0.0004694
                     10,                 3.0737,                 2.3197,                  1.608,                 0.3584,                0.10456,                0.07264,                0.02791,                 3.0424,                 2.2003,                 1.4723,             0.00037774,             0.00037774,             0.00037774
                     11,                 3.0297,                 2.3257,                 1.6032,                0.36965,                0.11947,                0.08416,                0.03123,                 3.0626,                 2.1866,                 1.4712,             0.00028608,             0.00028608,             0.00028608
                     12,                 3.0654,                 2.2704,                 1.5825,                0.17155,                0.13134,                0.09468,                0.03476,                 2.9445,                 2.0959,                 1.4489,             0.00019442,             0.00019442,             0.00019442
