                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2275,                 6.2451,                 4.0511,                  2e-05,                0.00038,                  1e-05,                      0,                 6.1584,                 6.7582,                 4.3415,             0.00036504,             0.00036504,             0.00036504
                      2,                 4.0315,                 3.1815,                 2.5877,                  5e-05,                0.00082,                 0.0001,                  4e-05,                 6.0606,                 7.2178,                 4.4142,             0.00067471,             0.00067471,             0.00067471
                      3,                  3.779,                 3.0359,                 2.1228,                0.23526,                0.02135,                0.00998,                0.00253,                 4.2045,                 2.9415,                 2.1162,             0.00092327,             0.00092327,             0.00092327
                      4,                 3.5183,                 2.8483,                 1.9961,                0.26847,                0.02427,                0.02027,                0.00634,                 3.5105,                 4.2119,                  1.798,             0.00083603,             0.00083603,             0.00083603
                      5,                 3.4021,                 2.7159,                 1.8377,                0.29699,                0.05578,                0.03289,                0.01163,                   3.31,                 2.7841,                 1.6581,             0.00083603,             0.00083603,             0.00083603
                      6,                 3.1839,                 2.4602,                  1.699,                0.11532,                0.06728,                0.04191,                0.01395,                 3.2934,                 2.7342,                 1.5522,             0.00074437,             0.00074437,             0.00074437
                      7,                 3.1123,                 2.3666,                 1.6669,                0.37028,                0.09012,                0.05619,                0.01971,                 3.0541,                  2.302,                 1.5288,             0.00065271,             0.00065271,             0.00065271
                      8,                 3.0441,                 2.2995,                 1.6149,                 0.3034,                0.04962,                0.03754,                0.01324,                 3.3079,                  2.743,                 1.4881,             0.00056105,             0.00056105,             0.00056105
                      9,                 2.9877,                  2.197,                 1.5663,                 0.2181,                0.12579,                0.10156,                0.03616,                 2.9535,                 2.1156,                 1.5016,              0.0004694,              0.0004694,              0.0004694
                     10,                 2.9153,                 2.0954,                 1.5388,                0.35962,                0.12234,                0.08622,                0.03237,                 2.9715,                  2.088,                 1.4143,             0.00037774,             0.00037774,             0.00037774
                     11,                 2.8576,                 2.0974,                 1.5393,                0.29262,                0.16167,                0.12452,                0.04381,                 2.8426,                 1.9449,                 1.4281,             0.00028608,             0.00028608,             0.00028608
                     12,                  2.888,                 2.0434,                 1.5152,                 0.2549,                0.16015,                0.13831,                0.05007,                 2.7681,                 1.9378,                 1.4089,             0.00019442,             0.00019442,             0.00019442
