                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3103,                 6.0229,                 3.7652,                  2e-05,                0.00041,                  1e-05,                      0,                 6.1449,                 6.6998,                 4.2802,             0.00036504,             0.00036504,             0.00036504
                      2,                 4.2868,                 3.4789,                 2.5732,                  3e-05,                0.00041,                  1e-05,                      0,                 6.1519,                 6.9806,                 4.4568,             0.00067471,             0.00067471,             0.00067471
                      3,                 3.9512,                 3.2649,                 2.2115,                0.01206,                0.05361,                0.00772,                0.00206,                 4.1429,                  2.995,                 2.2741,             0.00092327,             0.00092327,             0.00092327
                      4,                 3.7252,                 3.0979,                  2.085,                 0.2223,                0.00427,                0.00915,                 0.0024,                 4.1231,                 4.3689,                 1.8017,             0.00083603,             0.00083603,             0.00083603
                      5,                 3.5433,                 2.9338,                 1.8924,                0.25725,                 0.0198,                0.02148,                0.00809,                 3.4885,                  3.582,                 1.6771,             0.00083603,             0.00083603,             0.00083603
                      6,                 3.3576,                 2.6933,                 1.7443,                0.29735,                0.01758,                0.02552,                0.00896,                  3.614,                 4.4077,                 1.5984,             0.00074437,             0.00074437,             0.00074437
                      7,                 3.2638,                 2.5966,                 1.7027,                0.27944,                0.02726,                0.03351,                0.01254,                 3.3445,                  2.943,                 1.5517,             0.00065271,             0.00065271,             0.00065271
                      8,                 3.1881,                 2.4761,                 1.6352,                0.33041,                0.06219,                0.04467,                0.01565,                 3.1055,                 2.3207,                 1.5186,             0.00056105,             0.00056105,             0.00056105
                      9,                 3.1162,                 2.4296,                 1.5917,                 0.3682,                0.08275,                0.06526,                0.02377,                 3.0605,                 2.2231,                 1.4964,              0.0004694,              0.0004694,              0.0004694
                     10,                 3.0337,                 2.3364,                 1.5688,                0.33999,                0.07078,                0.04911,                0.01636,                 3.2283,                 2.3085,                 1.4774,             0.00037774,             0.00037774,             0.00037774
                     11,                 3.0054,                 2.3422,                 1.5634,                0.36117,                0.08548,                0.06702,                0.02358,                 3.0546,                 2.2133,                 1.4596,             0.00028608,             0.00028608,             0.00028608
                     12,                 3.0293,                 2.2716,                 1.5431,                0.38213,                0.09195,                  0.074,                0.02657,                 2.9171,                 2.1982,                 1.4285,             0.00019442,             0.00019442,             0.00019442
