                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4512,                 6.1929,                 3.8572,                  2e-05,                0.00022,                  1e-05,                      0,                 6.1536,                  6.479,                 4.4282,             0.00036504,             0.00036504,             0.00036504
                      2,                 4.4138,                 3.3132,                 2.6441,                0.00274,                0.01331,                0.00257,                0.00064,                 4.8262,                   4.71,                 3.3554,             0.00067471,             0.00067471,             0.00067471
                      3,                 4.0834,                 3.2195,                 2.2883,                0.25094,                 0.0276,                0.01221,                0.00326,                 4.1375,                 2.9624,                 2.3021,             0.00092327,             0.00092327,             0.00092327
                      4,                  3.891,                 3.0838,                 2.1881,                0.01872,                 0.0523,                 0.0148,                0.00468,                 3.8477,                 2.9764,                 1.9188,             0.00083603,             0.00083603,             0.00083603
                      5,                 3.7648,                 2.9767,                 2.0152,                0.26595,                0.03837,                0.02017,                0.00584,                 3.7408,                 2.8391,                 1.7624,             0.00083603,             0.00083603,             0.00083603
                      6,                  3.679,                 2.7802,                  1.879,                0.07028,                0.01756,                0.01755,                0.00547,                 3.9995,                 8.3649,                 1.7095,             0.00074437,             0.00074437,             0.00074437
                      7,                 3.5912,                   2.74,                 1.8776,                0.30283,                0.05291,                0.03192,                0.01041,                 3.5494,                 2.6078,                 1.7563,             0.00065271,             0.00065271,             0.00065271
                      8,                 3.4777,                  2.624,                 1.7986,                0.28066,                0.05116,                0.02643,                0.00895,                 3.6121,                 2.8449,                 1.8335,             0.00056105,             0.00056105,             0.00056105
                      9,                 3.4579,                  2.533,                 1.7664,                0.32489,                0.08163,                0.04468,                0.01412,                   3.37,                 2.3784,                 1.6887,              0.0004694,              0.0004694,              0.0004694
                     10,                 3.3384,                 2.4777,                 1.7304,                0.30967,                0.06546,                0.04361,                 0.0148,                  3.502,                 2.4098,                 1.6058,             0.00037774,             0.00037774,             0.00037774
                     11,                  3.303,                 2.4297,                 1.7277,                0.34332,                  0.096,                0.06537,                0.02263,                 3.2518,                 2.2524,                 1.5576,             0.00028608,             0.00028608,             0.00028608
                     12,                 3.3044,                 2.3848,                  1.692,                0.31261,                0.08439,                0.05243,                0.01731,                 3.2617,                 2.4097,                 1.5316,             0.00019442,             0.00019442,             0.00019442
