                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5682,                 6.6536,                 3.9942,                  1e-05,                  3e-05,                      0,                      0,                 6.1358,                 6.6435,                 4.2672,             0.00036504,             0.00036504,             0.00036504
                      2,                  4.296,                  3.443,                 2.6702,                  3e-05,                0.00041,                  1e-05,                      0,                 6.1973,                 7.1556,                 4.6481,             0.00067471,             0.00067471,             0.00067471
                      3,                 3.9685,                 3.2393,                 2.2109,                 0.0193,                0.05883,                0.01416,                0.00443,                 3.9756,                 3.2138,                 2.2168,             0.00092327,             0.00092327,             0.00092327
                      4,                 3.7721,                  3.116,                 2.0907,                0.02696,                0.01267,                0.01015,                0.00264,                 3.9061,                 5.1061,                 1.8874,             0.00083603,             0.00083603,             0.00083603
                      5,                 3.6318,                 2.9443,                 1.9333,                0.24488,                0.01491,                0.01395,                0.00439,                 3.6427,                 4.0277,                 1.6672,             0.00083603,             0.00083603,             0.00083603
                      6,                 3.4712,                 2.7421,                 1.7927,                 0.2945,                0.02804,                0.02441,                0.00846,                 3.4369,                 3.4953,                 1.6592,             0.00074437,             0.00074437,             0.00074437
                      7,                 3.3943,                 2.6559,                 1.7643,                0.26787,                0.04722,                0.02672,                 0.0083,                 3.3691,                 2.6046,                 1.6072,             0.00065271,             0.00065271,             0.00065271
                      8,                 3.2756,                 2.5258,                 1.6768,                0.26443,                0.03042,                0.03121,                0.01067,                 3.2087,                 2.9077,                 1.5498,             0.00056105,             0.00056105,             0.00056105
                      9,                 3.2133,                 2.4527,                 1.6316,                0.35989,                0.09054,                0.06682,                0.02286,                 3.1314,                 2.2654,                 1.5581,              0.0004694,              0.0004694,              0.0004694
                     10,                 3.1197,                 2.3523,                 1.6046,                0.34914,                0.09154,                0.06629,                0.02285,                 3.1409,                  2.275,                 1.4684,             0.00037774,             0.00037774,             0.00037774
                     11,                 3.0844,                 2.3599,                 1.5897,                0.37004,                0.10282,                 0.0773,                0.02698,                 3.0563,                 2.2357,                 1.4755,             0.00028608,             0.00028608,             0.00028608
                     12,                 3.0698,                 2.2918,                 1.5657,                 0.3777,                 0.1063,                0.08058,                0.02784,                 3.0215,                 2.1839,                 1.4596,             0.00019442,             0.00019442,             0.00019442
