                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3767,                 3.2396,                 1.1918,                0.07105,                0.05355,                0.05148,                0.02868,                 2.0605,                 2.4549,                 1.0942,             0.00036504,             0.00036504,             0.00036504
                      2,                 2.2019,                   2.07,                 1.1005,                0.30005,                0.10564,                0.11135,                0.05505,                 2.1004,                 2.2198,                 1.1108,             0.00067471,             0.00067471,             0.00067471
                      3,                 2.1219,                 1.9574,                 1.1414,                 0.3564,                0.09841,                0.13046,                0.06563,                 1.9896,                 1.9242,                 1.0836,             0.00092327,             0.00092327,             0.00092327
                      4,                 2.0527,                  1.833,                 1.1275,                0.52992,                0.12287,                0.16416,                 0.0864,                 2.0259,                 1.6307,                 1.0947,             0.00083603,             0.00083603,             0.00083603
                      5,                 2.0159,                 1.7255,                  1.108,                0.51397,                0.14925,                 0.1767,                0.09007,                  1.965,                 1.6264,                 1.0712,             0.00083603,             0.00083603,             0.00083603
                      6,                 1.9668,                 1.5971,                  1.081,                0.54931,                0.18808,                0.22675,                0.12137,                 1.8845,                  1.431,                 1.0387,             0.00074437,             0.00074437,             0.00074437
                      7,                 1.9123,                 1.4964,                 1.0656,                0.58822,                0.24121,                0.28431,                0.15103,                 1.8192,                 1.4331,                 1.0311,             0.00065271,             0.00065271,             0.00065271
                      8,                 1.8632,                 1.4236,                 1.0527,                0.70182,                0.26271,                0.31773,                0.17326,                 1.8044,                 1.3563,                  1.026,             0.00056105,             0.00056105,             0.00056105
                      9,                  1.836,                 1.3695,                 1.0425,                 0.6421,                0.22405,                0.28847,                0.15648,                 1.8025,                 1.3953,                 1.0231,              0.0004694,              0.0004694,              0.0004694
                     10,                 1.8174,                 1.3328,                 1.0358,                0.65989,                0.29848,                0.35422,                0.19131,                 1.7767,                 1.2743,                 1.0135,             0.00037774,             0.00037774,             0.00037774
                     11,                 1.7618,                 1.2834,                  1.021,                0.69586,                0.34447,                0.40708,                 0.2213,                 1.7621,                 1.2479,                 1.0087,             0.00028608,             0.00028608,             0.00028608
                     12,                  1.756,                 1.2475,                 1.0122,                0.71186,                0.34914,                0.41803,                0.23192,                 1.7252,                 1.1974,                 1.0017,             0.00019442,             0.00019442,             0.00019442
