                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3087,                 6.3025,                 3.8909,                  2e-05,                0.00022,                  1e-05,                      0,                  6.146,                 6.8014,                 4.3215,             0.00036504,             0.00036504,             0.00036504
                      2,                 4.2886,                  3.464,                 2.6541,                0.00084,                0.00643,                0.00184,                0.00064,                 4.7907,                 5.2907,                 3.5229,             0.00067471,             0.00067471,             0.00067471
                      3,                 3.9988,                 3.2717,                 2.2521,                0.01715,                0.06881,                0.01232,                0.00349,                 3.9719,                 3.0346,                 2.1537,             0.00092327,             0.00092327,             0.00092327
                      4,                 3.7814,                 3.1618,                 2.1309,                0.23556,                0.02634,                0.00981,                 0.0026,                  4.008,                 3.7871,                 2.0888,             0.00083603,             0.00083603,             0.00083603
                      5,                 3.6682,                  2.955,                 1.9795,                0.24033,                0.01841,                0.01632,                0.00474,                 4.0046,                 3.6742,                 1.7632,             0.00083603,             0.00083603,             0.00083603
                      6,                 3.4966,                 2.7729,                 1.8322,                0.27394,                0.04835,                0.02977,                0.00867,                  3.504,                 3.1869,                  1.618,             0.00074437,             0.00074437,             0.00074437
                      7,                 3.3835,                  2.681,                  1.799,                0.32368,                0.08285,                0.04263,                0.01467,                 3.2974,                  2.491,                 1.6297,             0.00065271,             0.00065271,             0.00065271
                      8,                 3.2574,                 2.5341,                 1.7119,                0.31877,                0.07288,                0.04725,                0.01606,                 3.1972,                 2.5032,                 1.5521,             0.00056105,             0.00056105,             0.00056105
                      9,                 3.2295,                 2.5059,                 1.6722,                0.34934,                0.10275,                0.06196,                0.02097,                 3.1275,                 2.2941,                 1.5294,              0.0004694,              0.0004694,              0.0004694
                     10,                 3.1471,                 2.4033,                  1.632,                0.33357,                0.10465,                 0.0626,                0.02278,                 3.1608,                 2.3132,                 1.4847,             0.00037774,             0.00037774,             0.00037774
                     11,                 3.0999,                 2.3912,                 1.6335,                0.35342,                0.10987,                 0.0691,                0.02533,                 3.0985,                 2.2609,                 1.4913,             0.00028608,             0.00028608,             0.00028608
                     12,                 3.1224,                 2.3524,                 1.6044,                0.33288,                0.11027,                0.06462,                0.02375,                 3.0477,                 2.3085,                 1.4618,             0.00019442,             0.00019442,             0.00019442
