                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3871,                  6.598,                 4.0345,                  2e-05,                0.00022,                  1e-05,                      0,                 6.1407,                 6.6721,                 4.3057,             0.00036504,             0.00036504,             0.00036504
                      2,                 4.2979,                   3.47,                 2.7248,                0.00382,                0.02182,                0.00529,                0.00137,                 4.5599,                 4.7571,                 3.2177,             0.00067471,             0.00067471,             0.00067471
                      3,                  3.951,                 3.2622,                 2.2601,                0.24516,                0.03526,                0.01151,                0.00302,                 4.2331,                 3.0245,                  2.367,             0.00092327,             0.00092327,             0.00092327
                      4,                 3.8089,                 3.1476,                 2.1243,                0.24878,                0.02372,                0.01214,                0.00347,                 3.8248,                 3.4116,                 1.9787,             0.00083603,             0.00083603,             0.00083603
                      5,                 3.7153,                 3.0021,                 1.9707,                 0.2696,                0.03703,                0.02241,                0.00705,                 3.6917,                 3.0307,                 1.7122,             0.00083603,             0.00083603,             0.00083603
                      6,                  3.571,                 2.7841,                 1.8178,                0.29751,                0.04139,                 0.0307,                0.00949,                 3.6991,                 3.3633,                 1.6748,             0.00074437,             0.00074437,             0.00074437
                      7,                 3.4861,                 2.6879,                 1.7976,                0.30713,                0.07409,                0.03966,                0.01215,                 3.4084,                 2.6593,                 1.6195,             0.00065271,             0.00065271,             0.00065271
                      8,                 3.3871,                 2.5743,                 1.7297,                0.32587,                0.06197,                0.04706,                 0.0156,                  3.396,                 2.7623,                  1.562,             0.00056105,             0.00056105,             0.00056105
                      9,                 3.3315,                  2.496,                 1.6829,                0.35331,                0.08952,                 0.0607,                 0.0208,                 3.2336,                 2.3884,                 1.5806,              0.0004694,              0.0004694,              0.0004694
                     10,                 3.2154,                 2.4176,                  1.646,                0.35653,                0.09905,                0.06822,                 0.0246,                 3.1525,                 2.2385,                 1.5133,             0.00037774,             0.00037774,             0.00037774
                     11,                 3.1478,                 2.3866,                 1.6329,                 0.3671,                0.10301,                0.07859,                0.02849,                 3.1881,                 2.2833,                 1.5044,             0.00028608,             0.00028608,             0.00028608
                     12,                 3.1555,                 2.3506,                 1.6117,                0.37991,                0.11359,                0.08607,                0.03035,                 3.0421,                 2.1927,                 1.4803,             0.00019442,             0.00019442,             0.00019442
